# [1]-ell [2]-C_ell
1 2.858308E-06
2 4.474396E-06
3 5.928925E-06
4 7.233653E-06
5 8.400353E-06
6 9.440238E-06
7 1.036372E-05
8 1.118049E-05
9 1.189930E-05
10 1.252791E-05
11 1.307335E-05
12 1.354209E-05
13 1.394007E-05
14 1.427278E-05
15 1.454525E-05
16 1.476212E-05
18 1.504628E-05
19 1.512153E-05
21 1.515662E-05
22 1.512321E-05
24 1.497006E-05
26 1.472072E-05
28 1.439584E-05
30 1.401387E-05
32 1.359111E-05
34 1.314175E-05
37 1.244412E-05
40 1.174715E-05
43 1.107533E-05
46 1.044534E-05
50 9.687187E-06
53 9.185184E-06
58 8.472760E-06
62 8.002953E-06
67 7.516018E-06
72 7.109703E-06
77 6.752836E-06
83 6.354831E-06
89 5.963609E-06
96 5.500753E-06
103 5.035230E-06
111 4.522389E-06
119 4.058072E-06
128 3.617468E-06
138 3.234024E-06
149 2.916105E-06
160 2.664531E-06
172 2.423386E-06
185 2.177376E-06
199 1.931199E-06
214 1.703841E-06
230 1.510009E-06
247 1.348112E-06
266 1.198703E-06
286 1.062257E-06
307 9.394350E-07
330 8.291520E-07
355 7.323850E-07
382 6.463162E-07
411 5.697831E-07
442 5.030366E-07
475 4.452511E-07
511 3.938397E-07
549 3.497189E-07
591 3.102583E-07
635 2.768523E-07
683 2.474329E-07
734 2.222590E-07
790 2.000584E-07
849 1.813086E-07
913 1.650101E-07
982 1.509687E-07
1055 1.390969E-07
1135 1.287155E-07
1220 1.199301E-07
1312 1.123575E-07
1411 1.058764E-07
1517 1.003556E-07
1631 9.562788E-08
1754 9.156420E-08
1886 8.808497E-08
2028 8.509110E-08
2180 8.251782E-08
2344 8.027813E-08
2521 7.831848E-08
2710 7.660953E-08
2914 7.509007E-08
3133 7.373400E-08
3369 7.250667E-08
3622 7.138956E-08
3895 7.035503E-08
4188 6.939228E-08
4503 6.848607E-08
4842 6.762510E-08
5206 6.680328E-08
5597 6.601411E-08
6019 6.524974E-08
6471 6.451299E-08
6958 6.379740E-08
7481 6.310415E-08
8044 6.243092E-08
8649 6.177865E-08
9300 6.114649E-08
10000 6.053513E-08
